Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
luxury plane charter,12,12,50,49,2.47,https://www.villiersjets.com/,0,0,0.00,0.37,3330000,"[6,0,2,0,4,0,4,2,100,2,4,2]",2024-12-29,"Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
jet legs,13,13,40,40,3.19,https://www.villiersjets.com/empty-legs,0,0,0.00,0.11,559000000,"[4,5,4,4,4,5,5,5,5,2,7,2]",2024-12-28,"Image pack, Image, People also ask, Related searches",commercial,Organic
jet pribado,13,13,30,68,2.04,https://www.villiersjets.com/,0,0,0.00,0.16,10200000,"[0,0,0,0,0,0,0,0,0,52,100,33]",2024-12-31,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know","commercial, informational",Organic
jet peivado,13,13,30,68,2.04,https://www.villiersjets.com/,0,0,0.00,0.16,10200000,"[0,0,0,0,0,0,0,0,0,52,100,33]",2024-12-31,"Knowledge panel, Sitelinks, Reviews, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Things to know","commercial, informational",Organic
aviation affiliate programs,16,16,40,34,3.13,https://www.villiersjets.com/affiliates,0,0,0.00,0.12,2610000,"[17,17,29,17,11,11,11,11,64,64,11,11]",2024-12-20,"Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
best ski resorts 2024,16,16,50,43,0.75,https://www.villiersjets.com/post/2024s-best-ski-destinations,0,0,0.00,0.18,55900000,"[45,63,100,100,18,18,18,18,27,27,45,36]",2024-12-27,"Sitelinks, Image, Hotels Pack, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
shared jet charter,20,20,110,38,1.87,https://www.villiersjets.com/post/shared-private-jet-charter,0,0,0.00,0.68,10600000,"[42,33,100,33,42,42,52,52,42,80,100,33]",2024-12-20,"Sitelinks, Reviews, Video, Image, People also ask, Related searches",commercial,Organic
privet jets,15,15,140,67,2.05,https://www.villiersjets.com/,0,0,0.00,0.36,65100000,"[66,52,66,66,66,66,100,80,52,52,52,66]",2024-12-15,"Carousel, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
jet privados,7,7,70,50,2.04,https://www.villiersjets.com/,0,0,0.00,0.16,1290000,"[42,23,23,23,9,14,4,14,33,52,100,33]",2024-12-14,"Image pack, Sitelinks, Reviews, Video, Related searches, Things to know",commercial,Organic
yet privados,9,9,30,56,2.04,https://www.villiersjets.com/,0,0,0.00,0.16,3310000,"[0,0,0,0,0,0,0,0,0,52,100,33]",2024-12-31,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, People also ask, Related searches, Things to know","commercial, informational",Organic
jets charter,15,15,70,69,3.38,https://www.villiersjets.com/,0,0,0.00,0.4,7580000,"[53,65,100,3,0,7,15,0,42,19,26,42]",2024-12-18,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Related searches",informational,Organic
jet privé,20,20,260,77,2.61,https://www.villiersjets.com/,0,0,0.00,0.17,382000000,"[66,43,82,66,28,66,53,82,82,53,35,66]",2024-12-21,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know",commercial,Organic
busiest private airports in the us,10,10,50,12,0.00,https://www.villiersjets.com/post/five-of-the-worlds-busiest-private-jet-airports,0,0,0.00,0,4270000,"[71,100,100,71,71,57,71,71,57,71,100,71]",2025-01-07,"Reviews, Image, People also ask, Related searches, AI overview",informational,Organic
greece or spain,13,13,70,13,0.00,https://www.villiersjets.com/post/greece-or-spain---discover-your-next-luxury-holiday-destination,0,0,0.00,0.07,1170000000,"[29,29,41,41,41,41,52,64,64,41,29,29]",2024-12-13,"Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
privite jets,15,15,50,66,2.05,https://www.villiersjets.com/,0,0,0.00,0.36,70100000,"[8,8,10,8,10,10,6,10,6,14,10,8]",2024-12-25,"Carousel, Image pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
privatejets,15,15,30,66,2.05,https://www.villiersjets.com/,0,0,0.00,0.36,64700000,"[10,6,6,6,6,2,2,4,4,8,6,6]",2024-12-16,"Carousel, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
